,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.1022737026214599,0.5305840969085693,0.4283103942871094,0.0830764770507812,0.5113868713378906,0.1090974807739257,0.1007094383239746,0.1189379692077636,0.018228530883789,0.0894157886505127,1.961643934249878,1.8722281455993648,0.0947566032409668,0.3325049877166748,0.237748384475708,0.2939217090606689,0.5073864459991455,0.2134647369384765,0.1013331413269043,0.1033711433410644,0.0020380020141601,0.0948095321655273,0.1130435466766357,0.0182340145111084,0.0910274982452392,0.2566554546356201,0.1656279563903808,0.132807970046997,0.3717513084411621,0.238943338394165,0.0725576877593994
2,0.1148464679718017,0.2096550464630127,0.0948085784912109,0.1003062725067138,0.1168560981750488,0.0165498256683349,0.0923614501953125,0.1289143562316894,0.0365529060363769,0.0847558975219726,1.6623268127441406,1.577570915222168,0.0905380249023437,0.2623817920684814,0.1718437671661377,0.1983284950256347,0.2612361907958984,0.0629076957702636,0.1047718524932861,0.1047718524932861,0.0,0.1239016056060791,0.1239016056060791,0.0,0.1002302169799804,0.1907565593719482,0.0905263423919677,0.1241235733032226,0.2417449951171875,0.1176214218139648,0.0796329975128173
7,0.0993754863739013,0.2414324283599853,0.1420569419860839,0.088346242904663,0.230403184890747,0.1129782199859619,0.0873878002166748,0.109199047088623,0.0218112468719482,0.1225461959838867,0.5679805278778076,0.4454343318939209,0.0887055397033691,0.2781045436859131,0.1893990039825439,0.206629991531372,0.2867615222930908,0.0801315307617187,0.1030709743499755,0.1670229434967041,0.0639519691467285,0.0371046066284179,0.1015419960021972,0.0644373893737793,0.0866162776947021,0.4031956195831299,0.3165793418884277,0.0549612045288085,0.3405649662017822,0.2856037616729736,0.0969891548156738
11,0.0900077819824218,0.2437493801116943,0.1537415981292724,0.1032009124755859,0.1407063007354736,0.0375053882598876,0.1048543453216552,0.1068520545959472,0.0019977092742919,0.0860838890075683,0.4289970397949219,0.3429131507873535,0.0917372703552246,0.3100128173828125,0.2182755470275879,0.1945528984069824,0.2429594993591308,0.0484066009521484,0.0774734020233154,0.1258800029754638,0.0934510231018066,0.1023347377777099,0.1694483757019043,0.0671136379241943,0.0433149337768554,0.3666377067565918,0.3233227729797363,0.0891261100769043,0.2191500663757324,0.1300239562988281,0.0856776237487793
15,0.0888266563415527,0.2354626655578613,0.1466360092163086,0.0899519920349121,0.6848607063293457,0.5949087142944336,0.1053450107574462,0.1355390548706054,0.0301940441131591,0.1252765655517578,0.4184765815734863,0.2932000160217285,0.100940465927124,0.228879690170288,0.127939224243164,0.1762309074401855,0.2415194511413574,0.0652885437011718,0.0835123062133789,0.1488008499145507,0.1113505363464355,0.1092019081115722,0.1391794681549072,0.0299775600433349,0.098257303237915,0.1550314426422119,0.0567741394042968,0.0985903739929199,0.1507434844970703,0.0521531105041503,0.101459264755249
16,0.1065974235534668,0.6312997341156006,0.5247023105621338,0.1013329029083252,0.626035213470459,0.1188695430755615,0.0855298042297363,0.0875327587127685,0.0020029544830322,0.0880312919616699,1.1408896446228027,1.0528583526611328,0.1060168743133544,0.3132972717285156,0.2072803974151611,0.1967320442199707,0.6883578300476074,0.4916257858276367,0.0631179809570312,0.554743766784668,0.1020653247833252,0.1038293838500976,0.1360182762145996,0.0321888923645019,0.0902442932128906,0.1337833404541015,0.0435390472412109,0.0969877243041992,0.2542860507965088,0.1572983264923095,0.0749826431274414
20,0.1024796962738037,0.1954314708709716,0.0929517745971679,0.1229755878448486,0.1329734325408935,0.0099978446960449,0.0900163650512695,0.0977876186370849,0.0077712535858154,0.1217861175537109,1.5652573108673096,1.4434711933135986,0.0875782966613769,0.3745579719543457,0.2869796752929687,0.3006644248962402,0.8689572811126709,0.5682928562164307,0.0910890102386474,0.6593818664550781,0.1056065559387207,0.1075868606567382,0.1478533744812011,0.0402665138244628,0.109443187713623,0.5550620555877686,0.4456188678741455,0.0965793132781982,0.1250059604644775,0.0284266471862792,0.0968413352966308
24,0.0980973243713378,0.1906793117523193,0.0925819873809814,0.1003077030181884,0.1319050788879394,0.0315973758697509,0.088017463684082,0.0920426845550537,0.0040252208709716,0.0828146934509277,0.88458251953125,0.8017678260803223,0.100964069366455,0.320601224899292,0.2196371555328369,0.2793507575988769,1.030580997467041,0.7512302398681641,0.1103618144989013,0.1223049163818359,0.0119431018829345,0.1024260520935058,0.1124482154846191,0.0100221633911132,0.0744328498840332,0.2710795402526855,0.1966466903686523,0.0841288566589355,0.1386225223541259,0.0544936656951904,0.1017704010009765
25,0.0998024940490722,0.1372430324554443,0.037440538406372,0.1032607555389404,0.1773629188537597,0.0741021633148193,0.0710532665252685,0.0801172256469726,0.0090639591217041,0.0990793704986572,0.582094669342041,0.4830152988433838,0.1056792736053466,0.2979183197021484,0.1922390460968017,0.2749221324920654,0.8781018257141113,0.6031796932220459,0.0842714309692382,0.6874511241912842,0.1190812587738037,0.1026015281677246,0.0677917003631591,0.1254379749298095,0.095210313796997,0.190077543258667,0.0948672294616699,0.1302094459533691,0.1340975761413574,0.0038881301879882,0.095231294631958
28,0.0978598594665527,1.2889297008514404,1.1910698413848877,0.08172607421875,0.0834507942199707,0.0017247200012207,0.0780718326568603,0.0815439224243164,0.003472089767456,0.1076593399047851,0.3402009010314941,0.2325415611267089,0.1058247089385986,0.2626087665557861,0.1567840576171875,0.2110633850097656,0.2250607013702392,0.0139973163604736,0.1220951080322265,0.1582498550415039,0.0361547470092773,0.0945789813995361,0.1399848461151123,0.0454058647155761,0.1115591526031494,0.1639091968536377,0.0523500442504882,0.0962700843811035,0.1949007511138916,0.098630666732788,0.1215021610260009
